metric	prcp	t2m	u10m	v10m
RMSE	8.39	0.58	0.45	0.51
MAE	4.28	0.46	0.33	0.38
CRPS	4.28	0.46	0.33	0.38
STD_DEV	0.00	0.00	0.00	0.00
