year_bin	prcp	t2m	u10m	v10m
2015-2024	-0.045	-0.020	-0.028	-0.035
2025-2034	-0.046	-0.018	-0.027	-0.035
2035-2044	-0.024	-0.019	-0.026	-0.036
2045-2054	-0.017	-0.018	-0.027	-0.033
2055-2064	-0.034	-0.018	-0.025	-0.032
2065-2074	-0.026	-0.014	-0.024	-0.032
2075-2080	-0.038	-0.019	-0.027	-0.033
