month	prcp	t2m	u10m	v10m
1	2.05	0.79	0.41	0.44
2	3.00	0.80	0.44	0.48
3	3.43	0.81	0.47	0.51
4	5.72	0.85	0.48	0.52
5	9.74	0.89	0.49	0.54
6	13.77	0.92	0.51	0.57
7	9.68	0.82	0.45	0.50
8	12.47	0.86	0.49	0.52
9	9.30	0.80	0.45	0.50
10	3.63	0.75	0.40	0.45
11	1.84	0.74	0.38	0.42
12	2.22	0.78	0.40	0.44
