month	prcp	t2m	u10m	v10m
1	2.24	0.62	0.31	0.35
2	2.57	0.62	0.33	0.37
3	3.34	0.63	0.35	0.38
4	3.63	0.64	0.34	0.38
5	7.61	0.66	0.35	0.39
6	10.71	0.70	0.40	0.43
7	9.56	0.63	0.35	0.39
8	11.64	0.65	0.37	0.40
9	10.53	0.62	0.34	0.39
10	6.18	0.58	0.32	0.38
11	2.56	0.56	0.29	0.34
12	2.08	0.59	0.29	0.33
