metric	prcp	t2m	u10m	v10m
RMSE	13.86	2.19	1.32	1.53
MAE	7.40	1.90	0.99	1.14
CORR	0.21	0.93	0.45	0.46
CRPS	6.83	1.72	0.86	1.00
STD_DEV	1.57	0.37	0.28	0.31
