year_bin	prcp	t2m	u10m	v10m
2015-2024	0.029	-0.010	0.009	-0.014
2025-2034	0.027	0.007	0.024	0.008
2035-2044	0.038	0.006	0.022	0.006
2045-2054	0.033	0.006	0.021	0.006
2055-2064	0.024	0.007	0.023	0.007
2065-2074	0.023	0.009	0.022	0.006
2075-2080	0.039	0.004	0.025	0.010
