metric	prcp	t2m	u10m	v10m
RMSE	0.082	0.030	0.031	0.027
MAE	0.068	0.018	0.025	0.025
CORR	-0.031	-0.002	-0.006	-0.006
CRPS	-0.656	-0.191	-0.094	-0.111
STD_DEV	2.216	0.457	0.285	0.323
