month	prcp	t2m	u10m	v10m
1	4.88	0.39	0.66	0.75
2	4.75	0.39	0.68	0.80
3	4.60	0.44	0.69	0.86
4	5.85	0.42	0.66	0.87
5	8.41	0.47	0.81	0.91
6	13.14	0.38	0.78	0.99
7	11.11	0.39	0.75	0.86
8	15.28	0.44	1.01	1.01
9	12.68	0.37	0.85	1.04
10	14.07	0.37	0.82	1.06
11	3.88	0.33	0.60	0.73
12	5.45	0.43	0.70	0.88
