year_bin	prcp	t2m	u10m	v10m
2015-2024	5.33	0.77	0.36	0.39
2025-2034	5.83	0.75	0.37	0.39
2035-2044	5.90	0.75	0.37	0.40
2045-2054	5.75	0.75	0.37	0.39
2055-2064	5.71	0.74	0.36	0.39
2065-2074	6.53	0.76	0.38	0.40
2075-2080	6.59	0.74	0.38	0.41
