metric	prcp	t2m	u10m	v10m
RMSE	14.37	1.07	0.62	0.71
MAE	8.22	0.86	0.46	0.53
CORR	0.33	0.98	0.86	0.85
CRPS	8.22	0.86	0.46	0.53
STD_DEV	0.00	0.00	0.00	0.00
