metric	prcp	t2m	u10m	v10m
RMSE	8.58	0.39	0.72	0.87
MAE	3.91	0.29	0.54	0.65
CRPS	3.91	0.29	0.54	0.65
STD_DEV	0.00	0.00	0.00	0.00
