year_bin	prcp	t2m	u10m	v10m
2015-2024	5.04	0.61	0.30	0.31
2025-2034	5.06	0.61	0.29	0.31
2035-2044	5.34	0.61	0.30	0.31
2045-2054	5.33	0.60	0.29	0.31
2055-2064	5.18	0.61	0.29	0.31
2065-2074	5.36	0.61	0.30	0.31
2075-2080	5.66	0.61	0.30	0.31
