metric	prcp	t2m	u10m	v10m
RMSE	0.141	0.024	0.033	0.047
MAE	0.157	0.019	0.030	0.042
CRPS	0.157	0.019	0.030	0.042
STD_DEV	0.000	0.000	0.000	0.000
