metric	prcp	t2m	u10m	v10m
RMSE	8.65	0.38	0.74	0.88
MAE	4.01	0.29	0.56	0.66
CORR	0.44	0.99	0.95	0.95
CRPS	4.01	0.29	0.56	0.66
STD_DEV	0.00	0.00	0.00	0.00
