month	prcp	t2m	u10m	v10m
1	5.33	0.42	0.69	0.78
2	4.84	0.42	0.69	0.78
3	4.48	0.46	0.67	0.86
4	5.84	0.41	0.64	0.88
5	8.43	0.47	0.80	0.91
6	13.19	0.41	0.77	0.96
7	11.33	0.40	0.76	0.87
8	15.46	0.45	0.97	1.00
9	13.05	0.39	0.86	1.02
10	14.57	0.39	0.80	1.01
11	4.06	0.37	0.61	0.72
12	5.39	0.47	0.69	0.88
