metric	prcp	t2m	u10m	v10m
RMSE	8.86	0.42	0.75	0.89
MAE	4.18	0.32	0.57	0.67
CRPS	4.18	0.32	0.57	0.67
STD_DEV	0.00	0.00	0.00	0.00
