month	prcp	t2m	u10m	v10m
1	2.24	0.31	0.51	0.57
2	2.02	0.32	0.52	0.58
3	2.03	0.34	0.51	0.64
4	2.68	0.31	0.48	0.67
5	3.72	0.36	0.61	0.69
6	6.29	0.31	0.58	0.72
7	5.87	0.29	0.60	0.67
8	7.10	0.33	0.75	0.77
9	7.19	0.30	0.65	0.78
10	6.79	0.30	0.59	0.75
11	1.61	0.27	0.46	0.54
12	2.40	0.35	0.52	0.66
