year_bin	prcp	t2m	u10m	v10m
2015-2024	5.48	0.59	0.90	1.07
2025-2034	6.07	0.57	0.93	1.11
2035-2044	5.91	0.56	0.93	1.11
2045-2054	5.81	0.56	0.93	1.10
2055-2064	5.85	0.57	0.92	1.09
2065-2074	6.68	0.57	0.97	1.13
2075-2080	6.71	0.58	0.96	1.15
