metric	prcp	t2m	u10m	v10m
RMSE	0.044	-0.047	-0.020	-0.054
MAE	0.088	-0.042	-0.017	-0.050
CORR	-0.004	0.001	0.007	0.010
CRPS	-0.391	-0.166	-0.118	-0.164
STD_DEV	1.203	0.282	0.231	0.266
