metric	prcp	t2m	u10m	v10m
RMSE	13.78	1.29	0.68	0.80
MAE	7.30	1.07	0.52	0.62
CORR	0.27	0.96	0.83	0.84
CRPS	7.30	1.07	0.52	0.62
STD_DEV	0.00	0.00	0.00	0.00
