year_bin	prcp	t2m
2015-2024	7.96	2.65
2025-2034	7.58	2.56
2035-2044	8.62	2.59
2045-2054	8.37	2.56
2055-2064	9.05	2.61
2065-2074	9.24	2.65
2075-2080	8.72	2.66
