year_bin	prcp	t2m
2015-2024	13.34	3.03
2025-2034	12.89	2.93
2035-2044	14.28	2.95
2045-2054	13.88	2.91
2055-2064	15.10	2.97
2065-2074	15.27	3.01
2075-2080	14.53	3.02
