metric	prcp	t2m	u10m	v10m
RMSE	8.84	0.39	0.76	0.90
MAE	4.15	0.29	0.57	0.68
CORR	0.40	0.99	0.95	0.95
CRPS	4.15	0.29	0.57	0.68
STD_DEV	0.00	0.00	0.00	0.00
