metric	prcp	t2m	u10m	v10m
RMSE	0.229	0.032	0.049	0.073
MAE	0.290	0.025	0.047	0.067
CRPS	0.290	0.025	0.047	0.067
STD_DEV	0.000	0.000	0.000	0.000
