metric	prcp	t2m	u10m	v10m
RMSE	16.11	1.46	1.02	1.38
MAE	10.52	1.17	0.81	1.09
CORR	0.24	0.96	0.69	0.61
CRPS	9.48	1.04	0.77	1.09
STD_DEV	10.88	2.66	2.07	3.06
