metric	prcp	t2m	u10m	v10m
RMSE	14.43	0.96	0.58	0.62
MAE	8.31	0.78	0.44	0.47
CORR	0.33	0.99	0.88	0.87
CRPS	7.82	0.65	0.36	0.38
STD_DEV	1.33	0.33	0.24	0.28
