metric	prcp	t2m	u10m	v10m
RMSE	2.371	2.968	0.863	1.408
MAE	2.811	2.180	0.817	1.290
CRPS	2.811	2.180	0.817	1.290
STD_DEV	0.000	0.000	0.000	0.000
