metric	prcp	t2m	u10m	v10m	q2m	mswdnb
RMSE	8.70701	0.39626	0.74700	0.88629	0.00053	44.53817
MAE	4.02737	0.30102	0.56196	0.66590	0.00042	34.47070
CRPS	3.69206	0.24637	0.49704	0.58312	0.00036	30.59467
STD_DEV	0.89918	0.13560	0.14931	0.19644	0.00012	8.71226
