year_bin	prcp	t2m	u10m	v10m
2015-2024	0.046	-0.016	-0.011	-0.031
2025-2034	0.042	-0.014	-0.011	-0.031
2035-2044	0.041	-0.014	-0.011	-0.031
2045-2054	0.040	-0.016	-0.010	-0.030
2055-2064	0.031	-0.014	-0.011	-0.030
2065-2074	0.038	-0.014	-0.010	-0.030
2075-2080	0.036	-0.014	-0.009	-0.029
