metric	prcp	t2m	u10m	v10m
RMSE	8.69	0.44	0.77	0.92
MAE	4.12	0.33	0.58	0.70
CORR	0.40	0.99	0.95	0.95
CRPS	4.12	0.33	0.58	0.70
STD_DEV	0.00	0.00	0.00	0.00
