month	prcp	t2m
1	4.72	3.83
2	4.68	4.15
3	5.30	3.59
4	7.84	2.97
5	14.28	2.33
6	23.20	2.38
7	22.80	2.65
8	27.05	2.28
9	23.18	2.37
10	12.19	2.89
11	6.37	3.19
12	5.30	3.19
