month	prcp	t2m
1	2.56	3.44
2	2.73	3.74
3	3.16	3.16
4	5.09	2.62
5	8.75	2.02
6	15.25	2.05
7	13.92	2.31
8	16.95	1.95
9	13.01	2.03
10	6.08	2.54
11	2.92	2.80
12	2.56	2.80
