month	prcp	t2m
1	0.36	0.94
2	0.31	0.94
3	0.26	0.94
4	0.18	0.95
5	0.14	0.97
6	0.14	0.97
7	0.09	0.97
8	0.12	0.98
9	0.14	0.97
10	0.25	0.97
11	0.37	0.96
12	0.38	0.95
