month	prcp	t2m	u10m	v10m
1	1.92	0.63	0.30	0.31
2	2.19	0.63	0.32	0.33
3	2.89	0.66	0.34	0.36
4	5.37	0.71	0.36	0.40
5	8.53	0.73	0.37	0.41
6	11.25	0.75	0.38	0.44
7	8.23	0.69	0.35	0.39
8	9.90	0.70	0.38	0.40
9	8.16	0.66	0.35	0.37
10	3.20	0.56	0.29	0.31
11	1.72	0.57	0.28	0.28
12	1.73	0.61	0.28	0.29
