metric	prcp	t2m	u10m	v10m
RMSE	3.31	0.44	0.29	0.33
MAE	1.92	0.35	0.22	0.25
CORR	0.71	1.00	0.96	0.96
CRPS	1.44	0.25	0.16	0.18
STD_DEV	2.46	0.49	0.31	0.35
