metric	prcp	t2m	u10m	v10m
RMSE	0.147	0.014	0.010	0.004
MAE	0.146	0.011	0.011	0.008
CRPS	0.146	0.011	0.011	0.008
STD_DEV	0.000	0.000	0.000	0.000
