month	prcp	t2m	u10m	v10m
1	2.09	0.61	0.31	0.33
2	2.33	0.63	0.32	0.35
3	2.55	0.66	0.33	0.35
4	4.18	0.68	0.34	0.37
5	7.58	0.66	0.36	0.37
6	14.30	0.72	0.40	0.42
7	17.00	0.68	0.46	0.48
8	17.05	0.67	0.42	0.45
9	10.90	0.60	0.35	0.39
10	8.19	0.61	0.35	0.38
11	4.05	0.63	0.33	0.34
12	3.10	0.64	0.32	0.33
