metric	prcp	t2m	u10m	v10m
RMSE	0.045	0.008	0.022	0.006
MAE	0.070	0.006	0.023	0.013
CORR	-0.010	-0.000	-0.006	-0.002
CRPS	-0.475	-0.166	-0.096	-0.120
STD_DEV	1.496	0.362	0.267	0.302
