year_bin	prcp	t2m	u10m	v10m
2015-2024	11.07	1.13	0.60	0.66
2025-2034	12.05	1.10	0.61	0.66
2035-2044	12.29	1.10	0.62	0.67
2045-2054	12.03	1.09	0.60	0.66
2055-2064	11.96	1.08	0.60	0.66
2065-2074	13.36	1.11	0.63	0.68
2075-2080	13.41	1.09	0.62	0.68
