year_bin	prcp	t2m	u10m	v10m
2015-2024	5.36	0.78	0.37	0.40
2025-2034	5.86	0.76	0.38	0.40
2035-2044	5.93	0.76	0.38	0.40
2045-2054	5.78	0.76	0.37	0.40
2055-2064	5.74	0.75	0.37	0.40
2065-2074	6.57	0.78	0.39	0.41
2075-2080	6.62	0.75	0.38	0.42
