metric	prcp	t2m	u10m	v10m
RMSE	0.049	-0.040	-0.026	-0.070
MAE	0.075	-0.029	-0.016	-0.053
CORR	-0.006	0.002	0.015	0.021
CRPS	-0.424	-0.161	-0.101	-0.147
STD_DEV	1.327	0.331	0.239	0.275
