metric	prcp	t2m	u10m	v10m
RMSE	12.24	1.20	0.64	0.75
MAE	6.39	0.99	0.49	0.57
CORR	0.32	0.97	0.84	0.86
CRPS	6.39	0.99	0.49	0.57
STD_DEV	0.00	0.00	0.00	0.00
