metric	prcp	t2m	u10m	v10m
RMSE	12.30	1.18	0.62	0.72
MAE	6.41	0.97	0.47	0.55
CORR	0.30	0.97	0.84	0.85
CRPS	6.41	0.97	0.47	0.55
STD_DEV	0.00	0.00	0.00	0.00
