metric	prcp	t2m	u10m	v10m
RMSE	12.25	1.10	0.61	0.67
MAE	6.40	0.90	0.47	0.51
CORR	0.31	0.97	0.86	0.88
CRPS	5.94	0.76	0.38	0.40
STD_DEV	1.23	0.32	0.25	0.30
