year_bin	prcp	t2m	u10m	v10m
2015-2024	5.59	0.77	0.39	0.42
2025-2034	5.60	0.76	0.39	0.42
2035-2044	5.91	0.77	0.39	0.42
2045-2054	5.89	0.76	0.39	0.42
2055-2064	5.72	0.76	0.38	0.42
2065-2074	5.91	0.77	0.39	0.42
2075-2080	6.21	0.76	0.39	0.42
