year_bin	prcp	t2m	u10m	v10m
2015-2024	12.02	1.67	0.95	1.10
2025-2034	13.23	2.31	1.36	1.61
2035-2044	14.21	2.32	1.35	1.60
2045-2054	13.36	2.29	1.35	1.61
2055-2064	13.99	2.27	1.33	1.56
2065-2074	14.64	2.29	1.39	1.60
2075-2080	16.37	2.18	1.37	1.62
