year_bin	prcp	t2m	u10m	v10m
2015-2024	0.31	0.95	0.66	0.67
2025-2034	0.22	0.93	0.43	0.43
2035-2044	0.22	0.93	0.42	0.44
2045-2054	0.20	0.92	0.42	0.42
2055-2064	0.20	0.93	0.43	0.43
2065-2074	0.20	0.92	0.41	0.42
2075-2080	0.20	0.93	0.43	0.42
