metric	prcp	t2m	u10m	v10m
RMSE	3.99	0.26	0.22	0.25
MAE	1.04	0.10	0.08	0.09
CRPS	1.04	0.10	0.08	0.09
STD_DEV	0.00	0.00	0.00	0.00
