metric	prcp	t2m	u10m	v10m
RMSE	13.97	1.19	0.80	0.89
MAE	7.68	0.98	0.66	0.74
CORR	0.29	0.97	0.84	0.85
CRPS	7.68	0.98	0.66	0.74
STD_DEV	0.00	0.00	0.00	0.00
