metric	prcp	t2m	u10m	v10m
RMSE	14.37	0.98	0.61	0.63
MAE	8.29	0.80	0.46	0.48
CORR	0.30	0.98	0.88	0.87
CRPS	7.83	0.67	0.38	0.39
STD_DEV	1.27	0.32	0.23	0.27
