metric	prcp	t2m	u10m	v10m
RMSE	8.16	0.52	0.44	0.51
MAE	4.34	0.41	0.32	0.38
CRPS	4.34	0.41	0.32	0.38
STD_DEV	0.00	0.00	0.00	0.00
