metric	prcp	t2m	u10m	v10m
RMSE	13.33	0.74	1.22	1.44
MAE	6.03	0.57	0.93	1.11
CORR	0.24	0.97	0.89	0.88
CRPS	6.03	0.57	0.93	1.11
STD_DEV	0.00	0.00	0.00	0.00
