year_bin	prcp	t2m	u10m	v10m
2015-2024	6.94	1.24	0.60	0.68
2025-2034	7.95	1.89	0.90	1.05
2035-2044	8.74	1.84	0.89	1.04
2045-2054	7.88	1.83	0.90	1.07
2055-2064	8.22	1.87	0.89	1.03
2065-2074	8.62	1.84	0.91	1.05
2075-2080	9.74	1.76	0.91	1.05
