metric	prcp	t2m	u10m	v10m
RMSE	0.023	-0.088	-0.029	-0.081
MAE	0.104	-0.065	-0.019	-0.057
CORR	0.004	0.003	0.016	0.021
CRPS	-0.475	-0.204	-0.106	-0.152
STD_DEV	1.598	0.353	0.251	0.288
