metric	prcp	t2m	u10m	v10m	q2m	mswdnb
RMSE	8.68578	0.41879	0.75025	0.89358	0.00054	44.63533
MAE	4.01385	0.31520	0.56637	0.67506	0.00042	34.55703
CRPS	4.01385	0.31520	0.56637	0.67506	0.00042	34.55703
STD_DEV	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
