year_bin	prcp	t2m	u10m	v10m
2015-2024	6.24	0.85	0.47	0.49
2025-2034	7.06	0.82	0.47	0.50
2035-2044	6.98	0.84	0.47	0.50
2045-2054	6.86	0.83	0.46	0.50
2055-2064	6.84	0.84	0.46	0.49
2065-2074	7.79	0.83	0.48	0.50
2075-2080	8.28	0.85	0.48	0.52
