month	prcp	t2m	u10m	v10m
1	4.14	1.07	0.52	0.54
2	4.48	1.05	0.56	0.57
3	6.99	1.16	0.61	0.67
4	10.42	1.16	0.64	0.72
5	17.02	1.14	0.60	0.71
6	23.27	1.23	0.70	0.77
7	24.08	1.12	0.67	0.76
8	25.05	1.19	0.73	0.78
9	16.56	1.09	0.62	0.67
10	6.80	0.97	0.50	0.55
11	5.42	0.96	0.50	0.51
12	2.88	1.00	0.48	0.49
