metric	prcp	t2m	u10m	v10m
RMSE	0.021	-0.023	-0.003	-0.039
MAE	0.015	-0.014	0.004	-0.029
CORR	-0.003	0.002	0.014	0.015
CRPS	-0.580	-0.168	-0.101	-0.140
STD_DEV	1.602	0.375	0.279	0.317
