metric	prcp	t2m	u10m	v10m
RMSE	12.40	0.89	0.58	0.56
MAE	7.00	0.73	0.46	0.43
CORR	0.38	0.99	0.90	0.90
CRPS	6.36	0.57	0.35	0.33
STD_DEV	1.73	0.42	0.27	0.31
