metric	prcp	t2m	u10m	v10m
RMSE	0.016	-0.067	-0.016	-0.058
MAE	0.016	-0.055	-0.011	-0.039
CORR	-0.020	0.001	0.008	0.013
CRPS	-0.442	-0.185	-0.097	-0.131
STD_DEV	1.241	0.320	0.231	0.269
