metric	prcp	t2m	u10m	v10m
RMSE	8.41	0.38	0.72	0.86
MAE	3.91	0.29	0.54	0.64
CRPS	3.91	0.29	0.54	0.64
STD_DEV	0.00	0.00	0.00	0.00
