metric	prcp	t2m	u10m	v10m
RMSE	13.84	1.17	0.67	0.71
MAE	7.75	0.96	0.52	0.54
CORR	0.28	0.98	0.86	0.86
CRPS	7.75	0.96	0.52	0.54
STD_DEV	0.00	0.00	0.00	0.00
