year_bin	prcp	t2m	u10m	v10m
2015-2024	12.07	1.66	0.96	1.09
2025-2034	13.28	2.32	1.39	1.62
2035-2044	14.27	2.33	1.37	1.60
2045-2054	13.41	2.30	1.37	1.62
2055-2064	14.03	2.28	1.36	1.57
2065-2074	14.67	2.31	1.41	1.61
2075-2080	16.43	2.19	1.40	1.63
