year_bin	prcp	t2m	u10m	v10m
2015-2024	5.87	1.26	0.62	0.70
2025-2034	6.55	1.85	0.92	1.07
2035-2044	7.07	1.85	0.91	1.06
2045-2054	6.56	1.82	0.90	1.07
2055-2064	6.93	1.80	0.89	1.04
2065-2074	7.33	1.82	0.94	1.07
2075-2080	8.35	1.71	0.93	1.08
